"File Name","TimeStamp","Language"
"/Users/zaidbhat/TBOP/1.mp4","0:00:00-0:00:20","1"
"/Users/zaidbhat/TBOP/1.mp4","0:00:20-0:00:40","5"
"/Users/zaidbhat/TBOP/1.mp4","0:00:40-0:01:00","1"
"/Users/zaidbhat/TBOP/1.mp4","0:01:00-0:01:20","1"
"/Users/zaidbhat/TBOP/1.mp4","0:01:20-0:01:40","2"
"/Users/zaidbhat/TBOP/1.mp4","0:01:40-0:02:00","1"
"/Users/zaidbhat/TBOP/1.mp4","0:02:00-0:02:20","1"
"/Users/zaidbhat/TBOP/1.mp4","0:02:20-0:02:40","1"
"/Users/zaidbhat/TBOP/1.mp4","0:02:40-0:03:00","1"
"/Users/zaidbhat/TBOP/1.mp4","0:03:00-0:03:20","6"
"/Users/zaidbhat/TBOP/1.mp4","0:03:20-0:03:40","5"
"/Users/zaidbhat/TBOP/1.mp4","0:03:40-0:04:00","1"
"/Users/zaidbhat/TBOP/1.mp4","0:04:00-0:04:20","2"
"/Users/zaidbhat/TBOP/1.mp4","0:04:20-0:04:40","1"
"/Users/zaidbhat/TBOP/1.mp4","0:04:40-0:05:00","1"
"/Users/zaidbhat/TBOP/1.mp4","0:05:00-0:05:20","5"
"/Users/zaidbhat/TBOP/1.mp4","0:05:20-0:05:40","1"
"/Users/zaidbhat/TBOP/1.mp4","0:05:40-0:06:00","2"
"/Users/zaidbhat/TBOP/1.mp4","0:06:00-0:06:20","1"
